                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1719,                 1.1372,                0.81791,                0.23825,                 0.5228,                0.25221,                0.17195,                 1.0521,                 5.0605,                0.80448,             0.00041126,             0.00041126,             0.00041126
                      2,                 1.1819,                0.69342,                0.81214,                0.80954,                0.53236,                0.61048,                0.33929,                 1.1654,                 0.9335,                0.81119,             0.00081973,             0.00081973,             0.00081973
                      3,                 1.2869,                0.67619,                0.81728,                0.76251,                0.62084,                0.64895,                 0.3886,                 1.1513,                0.64299,                0.81495,              0.0012199,              0.0012199,              0.0012199
                      4,                 1.2305,                0.83151,                0.81782,                0.69081,                0.52081,                0.55732,                0.32284,                 1.1988,                 1.6411,                0.81569,              0.0012129,              0.0012129,              0.0012129
                      5,                 1.1815,                0.73217,                0.81063,                0.72248,                0.63089,                 0.6571,                0.38497,                 1.1556,                0.81769,                0.81346,              0.0012005,              0.0012005,              0.0012005
                      6,                 1.1395,                0.67995,                  0.811,                0.72021,                0.50705,                0.64785,                0.37884,                 1.0975,                0.67898,                0.80581,              0.0011881,              0.0011881,              0.0011881
                      7,                 1.1783,                0.62721,                0.80756,                0.72899,                0.70235,                0.73143,                0.43318,                 1.0503,                0.57228,                0.80841,              0.0011757,              0.0011757,              0.0011757
                      8,                 1.1535,                0.58476,                0.80848,                0.86607,                0.62704,                0.74835,                0.45269,                 1.0925,                0.55154,                0.80833,              0.0011634,              0.0011634,              0.0011634
                      9,                  1.098,                0.55136,                0.80528,                0.82928,                0.63236,                0.71933,                0.43892,                 1.0813,                0.53319,                0.80426,               0.001151,               0.001151,               0.001151
                     10,                 1.0525,                0.52948,                0.80196,                 0.8186,                0.70104,                0.74219,                0.48569,                0.97372,                0.49118,                0.79964,              0.0011386,              0.0011386,              0.0011386
                     11,                 1.0411,                0.51064,                0.79848,                0.82578,                0.68168,                0.75024,                0.49922,                 0.9536,                0.49514,                0.79546,              0.0011263,              0.0011263,              0.0011263
                     12,                 1.0087,                0.51469,                0.79501,                0.87311,                0.69102,                0.74077,                 0.4867,                0.93031,                0.47497,                0.79409,              0.0011139,              0.0011139,              0.0011139
                     13,                 0.9804,                0.49434,                0.79256,                0.91159,                0.69849,                0.77512,                0.50328,                0.93275,                0.46868,                0.79813,              0.0011015,              0.0011015,              0.0011015
